id,name,page_no,stargazers_count,forks_count,open_issues_count,has_wiki,subscribers_count,github_contributions_count
512,lodash.isequal,17,12434,1156,0,1,452,162
513,lodash.isempty,17,12434,1156,0,1,452,162
514,lodash.keys,17,12434,1156,0,1,452,162
515,lodash.map,17,12434,1156,0,1,452,162
516,lodash.reduce,17,12434,1156,0,1,452,162
517,lodash.result,17,12434,1156,0,1,452,162
518,lodash.sortby,17,12434,1156,0,1,452,162
519,lodash.template,17,12434,1156,0,1,452,162
520,lodash.bind,17,12434,1156,0,1,452,162
521,lodash.includes,17,12434,1156,0,1,452,162
522,lodash.find,17,12434,1156,0,1,452,162
523,lodash.isundefined,17,12434,1156,0,1,452,162
524,lodash.partial,17,12434,1156,0,1,452,162
525,lodash.clonedeep,17,12434,1156,0,1,452,162
526,lodash.restparam,17,12434,1156,0,1,452,162
527,6to5,17,12434,1156,0,1,452,162
528,babel-preset-stage-0,17,12316,758,174,0,457,163
529,babel-polyfill,17,12316,758,174,0,457,163
530,fastclick,17,11283,1660,182,0,496,42
531,vagrant,17,10784,2275,249,1,650,529
532,flux,17,9713,2390,25,1,558,79
533,rx-lite,17,7059,702,61,1,324,163
534,resque,17,7002,1298,115,1,254,261
535,spree_core,17,6963,3325,236,1,408,431
536,bourbon,17,6744,737,16,1,335,101
537,composer/composer,17,6730,1888,528,0,453,485
538,activeadmin,17,6380,2298,201,1,228,457
539,cakephp/cakephp,17,6187,2838,162,1,624,411
540,whenever,17,6018,541,63,1,115,61
541,sidekiq,18,5801,996,15,1,204,308
542,whatwg-fetch,18,5620,254,6,0,150,28
543,kaminari,18,5458,734,43,1,123,99
544,faker,18,5458,734,43,1,123,99
545,protractor,18,4783,1022,185,1,341,174
546,markdown,18,4172,601,77,1,171,36
547,metalsmith,18,4172,333,24,1,110,28
548,friendly_id,18,3790,421,24,1,71,107
549,paper_trail,18,3701,491,21,1,79,107
550,fluentd,18,3629,427,49,1,275,82
551,foreman,18,3569,436,65,1,82,117
552,googleapis,18,3520,458,93,0,237,41
553,twitter,18,3421,859,49,1,132,151
554,nedb,18,3425,218,28,1,161,22
555,ramda,18,3341,248,85,1,132,99
556,refinerycms-core,18,,,,,,
557,activemerchant,18,3236,1817,55,1,186,408
558,active_model_serializers,18,3194,749,185,1,111,83
559,celluloid,18,3117,230,57,1,122,89
560,github-markup,18,3012,2555,58,0,175,52
561,RestSharp,18,,,,,,
562,silex/silex,18,2989,608,24,1,258,174
563,pg,18,2940,379,142,1,129,109
564,docco,18,2926,506,50,0,70,72
565,underscore.string,18,2926,506,50,0,70,72
566,rsvp,18,2926,506,50,0,70,72
567,formidable,18,2787,433,99,1,102,46
568,when,18,2789,349,52,1,157,50
569,cowboy,18,2762,657,76,0,280,83
570,erusev/parsedown,18,2740,384,82,1,146,20
571,rails-i18n,19,2577,1720,38,1,86,326
572,broccoli,19,2577,157,54,1,106,30
573,dalli,19,2448,293,34,1,61,103
574,jbuilder,19,2387,226,14,1,77,65
575,swig,19,2281,281,102,1,85,47
576,concurrent-ruby,19,2020,107,30,0,80,50
577,aws-sdk,19,1958,315,52,0,157,53
578,squizlabs/php_codesniffer,19,1923,485,67,1,117,96
579,serialport,19,1897,392,105,1,127,75
580,codeception/codeception,19,1895,726,250,1,158,296
581,gemoji,19,1800,230,3,0,96,28
582,bcrypt,19,1800,230,3,0,96,28
583,oauth,19,1715,441,129,1,61,45
584,guard-livereload,19,1656,99,10,1,52,37
585,pegjs,19,1604,217,50,1,78,12
586,html-pipeline,19,1583,208,19,0,74,62
587,nib,19,1583,208,19,0,74,62
588,oauth2orize,19,1507,242,42,1,79,13
589,swiftmailer/swiftmailer,19,1486,425,302,0,118,97
590,node-static,19,1443,190,43,1,57,39
591,quiet_assets,19,1351,64,8,0,49,18
592,responders,19,1262,93,6,1,40,44
593,eventemitter2,19,1262,93,6,1,40,44
594,js-yaml,19,1224,180,17,1,44,31
595,log4js,19,1183,295,111,1,70,62
596,grunt-usemin,19,1156,319,101,1,38,75
597,mongojs,19,1150,170,6,1,54,31
598,markdown-it,19,1110,91,5,1,53,33
599,grunt-contrib-imagemin,19,1030,146,16,1,44,34
600,sprintf-js,19,1030,146,16,1,44,34
601,jquery-ui-rails,20,912,158,2,0,37,12
602,ffaker,20,907,231,19,1,34,101
603,debugger,20,891,90,15,1,25,23
604,bcrypt,20,862,134,26,1,40,23
605,grunt-wiredep,20,834,86,8,0,20,6
606,cli-table,20,827,69,39,1,154,17
607,grunt-sass,20,820,157,0,0,73,19
608,fabrication,20,800,93,15,0,18,45
609,twilio-ruby,20,791,232,4,1,89,42
610,gli,20,,,,,,
611,xo,20,799,21,12,0,31,13
612,wiredep,20,785,105,30,1,27,35
613,rdiscount,20,743,72,4,1,26,21
