Title	Venue	Year	Authors
9th International Workshop on Program Comprehension (IWPC 2001), 12-13 May 2001, Toronto, Canada.		2001	[]
Comprehending by varying Focal Distance.	IWPC	2000	["Roland Mittermeir"]
Program Comprehension and Software Migration Strategies.	IWPC	2000	["Hausi A. M\u00fcller"]
Understanding the Sources of Software Defects: A Filtering Approach.	IWPC	2000	["Claes Wohlin", "Martin H\u00f6st", "Magnus C. Ohlsson"]
Automated Quality Analysis of Component Software for Embedded Systems.	IWPC	2000	["Jens H. Jahnke", "J\u00f6rg Niere", "J\u00f6rg P. Wadsack"]
Understanding Some Software Quality Aspects from Architecture and Design Models.	IWPC	2000	["Lars Bratthall", "Claes Wohlin"]
A Pattern Matching Framework for Software Architecture Recovery and Restructuring.	IWPC	2000	["Kamran Sartipi", "Kostas Kontogiannis", "Farhad Mavaddat"]
Architectural Repair of Open Source Software.	IWPC	2000	["John B. Tran", "Michael W. Godfrey", "Eric H. S. Lee", "Richard C. Holt"]
Architectural Level Hypothesis Testing through Reverse Engineering of Object-Oriented Software.	IWPC	2000	["Steve Counsell", "Peter Newson", "Emilia Mendes"]
A Formalism to Automate Mapping from Program Features to Code.	IWPC	2000	["Jean-Christophe Deprez", "Arun Lakhotia"]
Tracing Object-Oriented Code into Functional Requirements.	IWPC	2000	["Giuliano Antoniol", "Gerardo Canfora", "Andrea De Lucia", "Gerardo Casazza", "Ettore Merlo"]
Evaluating the Accessor Classification Approach to Detect Abstract Data Types.	IWPC	2000	["Jean-Francois Girard", "Martin W\u00fcrthner"]
Program Comprehension through Multiple Simultaneous Views: A Session with VinEd.	IWPC	2000	["Jorma Sajaniemi"]
Smiley-An Interactive Tool for Monitoring Inter-Module Function Calls.	IWPC	2000	["Neil M. Goldman"]
Requirements for an Elucidative Programming Environment.	IWPC	2000	["Kurt N\u00f8rmark"]
Program Comprehension Techniques Improve Software Inspections: A Case Study.	IWPC	2000	["Stan Rifkin", "Lionel E. Deimel"]
