Title	Venue	Year	Authors
OCTET: capturing and controlling cross-thread dependences efficiently.	OOPSLA	2013	["Michael D. Bond", "Milind Kulkarni", "Man Cao", "Minjia Zhang", "Meisam Fathi Salmi", "Swarnendu Biswas", "Aritra Sengupta", "Jipeng Huang"]
Online feedback-directed optimizations for parallel Java code.	OOPSLA	2013	["Albert Noll", "Thomas R. Gross"]
River trail: a path to parallelism in JavaScript.	OOPSLA	2013	["Stephan Herhut", "Richard L. Hudson", "Tatiana Shpeisman", "Jaswanth Sreeram"]
Combining concern input with program analysis for bloat detection.	OOPSLA	2013	["Suparna Bhattacharya", "Kanchi Gopinath", "Mangala Gowri Nanda"]
Injecting mechanical faults to localize developer faults for evolving software.	OOPSLA	2013	["Lingming Zhang", "Lu Zhang", "Sarfraz Khurshid"]
Efficient concurrency-bug detection across inputs.	OOPSLA	2013	["Dongdong Deng", "Wei Zhang", "Shan Lu"]
Detecting API documentation errors.	OOPSLA	2013	["Hao Zhong", "Zhendong Su"]
On-the-fly detection of instability problems in floating-point program execution.	OOPSLA	2013	["Tao Bao", "Xiangyu Zhang"]
Bounded partial-order reduction.	OOPSLA	2013	["Katherine E. Coons", "Madan Musuvathi", "Kathryn S. McKinley"]
On-the-fly capacity planning.	OOPSLA	2013	["Nick Mitchell", "Peter F. Sweeney"]
Relaxed separation logic: a program logic for C11 concurrency.	OOPSLA	2013	["Viktor Vafeiadis", "Chinmay Narayan"]
Proceedings of the 2013 ACM SIGPLAN International Conference on Object Oriented Programming Systems Languages & Applications, OOPSLA 2013, part of SPLASH 2013, Indianapolis, IN, USA, October 26-31, 2013.		2013	["Antony L. Hosking", "Patrick Th. Eugster", "Cristina V. Lopes"]
Type-based safe resource deallocation for shared-memory concurrency.	OOPSLA	2012	["Kohei Suenaga", "Ryota Fukuda", "Atsushi Igarashi"]
Uniqueness and reference immutability for safe parallelism.	OOPSLA	2012	["Colin S. Gordon", "Matthew J. Parkinson", "Jared Parsons", "Aleks Bromfield", "Joe Duffy"]
Safe compiler-driven transaction checkpointing and recovery.	OOPSLA	2012	["Jaswanth Sreeram", "Santosh Pande"]
Towards a practical secure concurrent language.	OOPSLA	2012	["Stefan Muller", "Stephen Chong"]
Predicate abstraction of Java programs with collections.	OOPSLA	2012	["Pavel Parizek", "Ondrej Lhot\u00e1k"]
Reducing the barriers to writing verified specifications.	OOPSLA	2012	["Todd W. Schiller", "Michael D. Ernst"]
GPUVerify: a verifier for GPU kernels.	OOPSLA	2012	["Adam Betts", "Nathan Chong", "Alastair F. Donaldson", "Shaz Qadeer", "Paul Thomson"]
Modular and verified automatic program repair.	OOPSLA	2012	["Francesco Logozzo", "Thomas Ball"]
Mitigating the compiler optimization phase-ordering problem using machine learning.	OOPSLA	2012	["Sameer Kulkarni", "John Cavazos"]
Optimization coaching: optimizers learn to communicate with programmers.	OOPSLA	2012	["Vincent St-Amour", "Sam Tobin-Hochstadt", "Matthias Felleisen"]
Adaptive multi-level compilation in a trace-based Java JIT compiler.	OOPSLA	2012	["Hiroshi Inoue", "Hiroshige Hayashizaki", "Peng Wu", "Toshio Nakatani"]
On the benefits and pitfalls of extending a statically typed language JIT compiler for dynamic scripting languages.	OOPSLA	2012	["Jos\u00e9 G. Casta\u00f1os", "David Edelsohn", "Kazuaki Ishizaki", "Priya Nagpurkar", "Toshio Nakatani", "Takeshi Ogasawara", "Peng Wu"]
An abstract interpretation framework for refactoring with application to extract methods with contracts.	OOPSLA	2012	["Patrick Cousot", "Radhia Cousot", "Francesco Logozzo", "Michael Barnett"]
Refactoring android Java code for on-demand computation offloading.	OOPSLA	2012	["Ying Zhang", "Gang Huang", "Xuanzhe Liu", "Wei Zhang", "Hong Mei", "Shunxiang Yang"]
Kitsune: efficient, general-purpose dynamic software updating for C.	OOPSLA	2012	["Christopher M. Hayden", "Edward K. Smith", "Michail Denchev", "Michael Hicks", "Jeffrey S. Foster"]
Automating object transformations for dynamic software updating.	OOPSLA	2012	["Stephen Magill", "Michael Hicks", "Suriya Subramanian", "Kathryn S. McKinley"]
Exploring multi-threaded Java application performance on multicore hardware.	OOPSLA	2012	["Jennifer B. Sartor", "Lieven Eeckhout"]
Work-stealing without the baggage.	OOPSLA	2012	["Vivek Kumar", "Daniel Frampton", "Stephen M. Blackburn", "David Grove", "Olivier Tardieu"]
Molecule: using monadic and streaming I/O to compose process networks on the JVM.	OOPSLA	2012	["S\u00e9bastien Bocq", "Koen Daenen"]
A black-box approach to understanding concurrency in DaCapo.	OOPSLA	2012	["Tomas Kalibera", "Matthew Mole", "Richard E. Jones", "Jan Vitek"]
Automatically enhancing locality for tree traversals with traversal splicing.	OOPSLA	2012	["Youngjoon Jo", "Milind Kulkarni"]
Elixir: a system for synthesizing concurrent graph programs.	OOPSLA	2012	["Dimitrios Prountzos", "Roman Manevich", "Keshav Pingali"]
From clarity to efficiency for distributed algorithms.	OOPSLA	2012	["Yanhong A. Liu", "Scott D. Stoller", "Bo Lin", "Michael Gorbovitski"]
Program extrapolation with jennisys.	OOPSLA	2012	["K. Rustan M. Leino", "Aleksandar Milicevic"]
Bolt: on-demand infinite loop escape in unmodified binaries.	OOPSLA	2012	["Michael Kling", "Sasa Misailovic", "Michael Carbin", "Martin C. Rinard"]
LEAN: simplifying concurrency bug reproduction via replay-supported execution reduction.	OOPSLA	2012	["Jeff Huang", "Charles Zhang"]
IFRit: interference-free regions for dynamic data-race detection.	OOPSLA	2012	["Laura Effinger-Dean", "Brandon Lucia", "Luis Ceze", "Dan Grossman", "Hans-Juergen Boehm"]
Maple: a coverage-driven testing tool for multithreaded programs.	OOPSLA	2012	["Jie Yu", "Satish Narayanasamy", "Cristiano Pereira", "Gilles Pokam"]
Taming MATLAB.	OOPSLA	2012	["Anton Willy Dubrau", "Laurie J. Hendren"]
Scaling symbolic execution using ranged analysis.	OOPSLA	2012	["Junaid Haroon Siddiqui", "Sarfraz Khurshid"]
Higher-order symbolic execution via contracts.	OOPSLA	2012	["Sam Tobin-Hochstadt", "David Van Horn"]
Checking reachability using matching logic.	OOPSLA	2012	["Grigore Rosu", "Andrei Stefanescu"]
The HipHop compiler for PHP.	OOPSLA	2012	["Haiping Zhao", "Iain Proctor", "Minghui Yang", "Xin Qi", "Mark Williams", "Qi Gao", "Guilherme Ottoni", "Andrew Paroski", "Scott MacVicar", "Jason Evans", "Stephen Tu"]
