Title	Venue	Year	Authors
NLP-KAOS for Systems Goal Elicitation: Smart Metering System Case Study.	IEEE Trans. Software Eng.	2014	["Erik Casagrande", "Selamawit Woldeamlak", "Wei Lee Woon", "Hatem H. Zeineldin", "Davor Svetinovic"]
On the Accuracy, Efficiency, and Reusability of Automated Test Oracles for Android Devices.	IEEE Trans. Software Eng.	2014	["Ying-Dar Lin", "Jos\u00e9 F. Rojas", "Edward T.-H. Chu", "Yuan-Cheng Lai"]
On the Effectiveness of Contracts as Test Oracles in the Detection and Diagnosis of Functional Faults in Concurrent Object-Oriented Software.	IEEE Trans. Software Eng.	2014	["Wladimir Araujo", "Lionel C. Briand", "Yvan Labiche"]
Predicting Vulnerable Software Components via Text Mining.	IEEE Trans. Software Eng.	2014	["Riccardo Scandariato", "James Walden", "Aram Hovsepyan", "Wouter Joosen"]
Requirements Elicitation and Specification Using the Agent Paradigm: The Case Study of an Aircraft Turnaround Simulator.	IEEE Trans. Software Eng.	2014	["Tim Miller", "Bin Lu", "Leon Sterling", "Ghassan Beydoun", "Kuldar Taveter"]
Supporting the Combined Selection of Model-Based Testing Techniques.	IEEE Trans. Software Eng.	2014	["Arilo Claudio Dias-Neto", "Guilherme Horta Travassos"]
A Component Model for Model Transformations.	IEEE Trans. Software Eng.	2014	["Jes\u00fas S\u00e1nchez Cuadrado", "Esther Guerra", "Juan de Lara"]
Keeping the Development Environment Up to Date - A Study of the Situated Practices of Appropriating the Eclipse IDE.	IEEE Trans. Software Eng.	2014	["Sebastian Draxler", "Gunnar Stevens", "Alexander Boden"]
Rate-Based Queueing Simulation Model of Open Source Software Debugging Activities.	IEEE Trans. Software Eng.	2014	["Chu-Ti Lin", "Yan-Fu Li"]
Test Code Quality and Its Relation to Issue Handling Performance.	IEEE Trans. Software Eng.	2014	["Dimitrios Athanasiou", "Ariadi Nugroho", "Joost Visser", "Andy Zaidman"]
Using Traceability Links to Recommend Adaptive Changes for Documentation Evolution.	IEEE Trans. Software Eng.	2014	["Barth\u00e9l\u00e9my Dagenais", "Martin P. Robillard"]
An Empirical Methodology to Evaluate Vulnerability Discovery Models.	IEEE Trans. Software Eng.	2014	["Fabio Massacci", "Viet Hung Nguyen"]
Construction and Validation of an Instrument for Measuring Programming Skill.	IEEE Trans. Software Eng.	2014	["Gunnar R. Bergersen", "Dag I. K. Sj\u00f8berg", "Tore Dyb\u00e5"]
Input-Sensitive Profiling.	IEEE Trans. Software Eng.	2014	["Emilio Coppa", "Camil Demetrescu", "Irene Finocchi"]
Making CEGAR More Efficient in Software Model Checking.	IEEE Trans. Software Eng.	2014	["Cong Tian", "Zhenhua Duan", "Zhao Duan"]
Model-Transformation Design Patterns.	IEEE Trans. Software Eng.	2014	["Kevin Lano", "Shekoufeh Kolahdouz Rahimi"]
Ant Colony Optimization for Software Project Scheduling and Staffing with an Event-Based Scheduler.	IEEE Trans. Software Eng.	2013	["Wei-neng Chen", "Jun Zhang"]
Empirical Principles and an Industrial Case Study in Retrieving Equivalent Requirements via Natural Language Processing Techniques.	IEEE Trans. Software Eng.	2013	["Davide Falessi", "Giovanni Cantone", "Gerardo Canfora"]
Identifying and Summarizing Systematic Code Changes via Rule Inference.	IEEE Trans. Software Eng.	2013	["Miryung Kim", "David Notkin", "Dan Grossman", "Gary Wilson Jr."]
